epoch,raw_data_sleepMat,PulseOximeter_results
1473817332048,7496,113
1473817332068,7427,113
1473817332088,7340,113
1473817332108,7273,113
1473817332128,7194,113
1473817332148,7083,113
1473817332168,6991,113
1473817332188,6971,113
1473817332208,6929,113
1473817332228,6892,113
1473817332248,6879,113
1473817332268,6882,113
1473817332288,6830,113
1473817332308,6655,113
1473817332328,6468,113
1473817332348,6315,113
1473817332368,6217,113
1473817332388,6190,113
1473817332408,6168,113
1473817332428,6173,113
1473817332448,6207,113
1473817332468,6244,113
1473817332488,6301,113
1473817332508,6396,113
1473817332528,6504,113
1473817332548,6605,113
1473817332568,6699,113
1473817332588,6790,113
1473817332608,6845,113
1473817332628,6887,113
1473817332648,6895,113
1473817332668,6885,113
1473817332688,6880,113
1473817332708,6915,113
1473817332728,6975,113
1473817332748,7043,113
1473817332768,7098,113
1473817332788,7164,113
1473817332808,7187,113
1473817332828,7122,113
1473817332848,7050,113
1473817332868,7039,113
1473817332888,7024,113
1473817332908,7056,113
1473817332928,7100,113
1473817332948,7144,113
1473817332968,7176,113
1473817332988,7205,113
1473817333008,7224,111
1473817333028,7211,111
1473817333048,7218,111
1473817333068,7256,111
1473817333088,7299,111
1473817333108,7363,111
1473817333128,7406,111
1473817333148,7456,111
1473817333168,7482,111
1473817333188,7451,111
1473817333208,7445,111
1473817333228,7497,111
1473817333248,7555,111
1473817333268,7608,111
1473817333288,7625,111
1473817333308,7611,111
1473817333328,7514,111
1473817333348,7455,111
1473817333368,7436,111
1473817333388,7427,111
1473817333408,7441,111
1473817333428,7472,111
1473817333448,7481,111
1473817333468,7526,111
1473817333488,7570,111
1473817333508,7604,111
1473817333528,7630,111
1473817333548,7658,111
1473817333568,7675,111
1473817333588,7698,111
1473817333608,7760,111
1473817333628,7808,111
1473817333648,7856,111
1473817333668,7900,111
1473817333688,7920,111
1473817333708,7910,111
1473817333728,7903,111
1473817333748,7915,111
1473817333768,8004,111
1473817333788,8098,111
1473817333808,8111,111
1473817333828,8100,111
1473817333848,8063,111
1473817333868,8008,111
1473817333888,7984,111
1473817333908,7982,111
1473817333928,7997,111
1473817333948,8006,111
1473817333968,8022,111
1473817333988,8020,111
1473817334008,8031,110
1473817334028,8072,110
1473817334048,8084,110
1473817334068,8092,110
1473817334088,8086,110
1473817334108,8067,110
1473817334128,8092,110
1473817334148,8106,110
1473817334168,8123,110
1473817334188,8133,110
1473817334208,8112,110
1473817334228,8093,110
1473817334248,8082,110
1473817334268,8095,110
1473817334288,8118,110
1473817334308,8114,110
1473817334328,8088,110
1473817334348,8026,110
1473817334368,7940,110
1473817334388,7867,110
1473817334408,7809,110
1473817334428,7776,110
1473817334448,7756,110
1473817334468,7741,110
1473817334488,7721,110
1473817334508,7704,110
1473817334528,7696,110
1473817334548,7698,110
1473817334568,7693,110
1473817334588,7668,110
1473817334608,7618,110
1473817334628,7596,110
1473817334648,7606,110
1473817334668,7626,110
1473817334688,7634,110
1473817334708,7622,110
1473817334728,7589,110
1473817334748,7545,110
1473817334768,7503,110
1473817334788,7512,110
1473817334808,7548,110
1473817334828,7549,110
1473817334848,7546,110
1473817334868,7503,110
1473817334888,7412,110
1473817334908,7321,110
1473817334928,7268,110
1473817334948,7242,110
1473817334968,7216,110
1473817334988,7184,110
1473817335008,7157,110
1473817335028,7145,110
1473817335048,7155,110
1473817335068,7143,110
1473817335088,7128,110
1473817335108,7102,110
1473817335128,7062,110
1473817335148,7043,110
1473817335168,7058,110
1473817335188,7068,110
1473817335208,7081,110
1473817335228,7075,110
1473817335248,7062,110
1473817335268,7025,110
1473817335288,6996,110
1473817335308,7007,110
1473817335328,7022,110
1473817335348,7033,110
1473817335368,7041,110
1473817335388,7041,110
1473817335408,6992,110
1473817335428,6913,110
1473817335448,6869,110
1473817335468,6842,110
1473817335488,6827,110
1473817335508,6830,110
1473817335528,6829,110
1473817335548,6844,110
1473817335568,6891,110
1473817335588,6932,110
1473817335608,6961,110
1473817335628,6971,110
1473817335648,6965,110
1473817335668,6985,110
1473817335688,7026,110
1473817335708,7075,110
1473817335728,7127,110
1473817335748,7178,110
1473817335768,7223,110
1473817335788,7228,110
1473817335808,7233,110
1473817335828,7272,110
1473817335848,7331,110
1473817335868,7399,110
1473817335888,7430,110
1473817335908,7449,110
1473817335928,7421,110
1473817335948,7363,110
1473817335968,7336,110
1473817335988,7312,110
1473817336008,7309,110
1473817336028,7323,110
1473817336048,7318,110
1473817336068,7340,110
1473817336088,7381,110
1473817336108,7409,110
1473817336128,7437,110
1473817336148,7449,110
1473817336168,7465,110
1473817336188,7486,110
1473817336208,7515,110
1473817336228,7538,110
1473817336248,7566,110
1473817336268,7616,110
1473817336288,7665,110
1473817336308,7673,110
1473817336328,7656,110
1473817336348,7652,110
1473817336368,7682,110
1473817336388,7732,110
1473817336408,7784,110
1473817336428,7804,110
1473817336448,7755,110
1473817336468,7686,110
1473817336488,7633,110
1473817336508,7597,110
1473817336528,7580,110
1473817336548,7586,110
1473817336568,7606,110
1473817336588,7633,110
1473817336608,7659,110
1473817336628,7686,110
1473817336648,7727,110
1473817336668,7749,110
1473817336688,7782,110
1473817336708,7808,110
1473817336728,7851,110
1473817336748,7904,110
1473817336768,7948,110
1473817336788,8005,110
1473817336808,8080,110
1473817336828,8114,110
1473817336848,8120,110
1473817336868,8116,110
1473817336888,8139,110
1473817336908,8188,110
1473817336928,8271,110
1473817336948,8332,110
1473817336968,8313,110
1473817336988,8283,110
1473817337008,8251,109
1473817337028,8232,109
1473817337048,8224,109
1473817337068,8220,109
1473817337088,8245,109
1473817337108,8260,109
1473817337128,8267,109
1473817337148,8273,109
1473817337168,8296,109
1473817337188,8302,109
1473817337208,8288,109
1473817337228,8249,109
1473817337248,8226,109
1473817337268,8205,109
1473817337288,8198,109
1473817337308,8216,109
1473817337328,8224,109
1473817337348,8221,109
1473817337368,8203,109
1473817337388,8168,109
1473817337408,8145,109
1473817337428,8156,109
1473817337448,8197,109
1473817337468,8211,109
1473817337488,8186,109
1473817337508,8141,109
1473817337528,8029,109
1473817337548,7936,109
1473817337568,7892,109
1473817337588,7868,109
1473817337608,7874,109
1473817337628,7846,109
1473817337648,7811,109
1473817337668,7800,109
1473817337688,7790,109
1473817337708,7789,109
1473817337728,7786,109
1473817337748,7773,109
1473817337768,7741,109
1473817337788,7694,109
1473817337808,7683,109
1473817337828,7702,109
1473817337848,7700,109
1473817337868,7688,109
1473817337888,7662,109
1473817337908,7598,109
1473817337928,7540,109
1473817337948,7494,109
1473817337968,7494,109
1473817337988,7491,109
1473817338008,7466,109
1473817338028,7422,109
1473817338048,7336,109
1473817338068,7232,109
1473817338088,7164,109
1473817338108,7129,109
1473817338128,7107,109
1473817338148,7100,109
1473817338168,7084,109
1473817338188,7048,109
1473817338208,7036,109
1473817338228,7040,109
1473817338248,7047,109
1473817338268,7051,109
1473817338288,7026,109
1473817338308,6993,109
1473817338328,6995,109
1473817338348,7005,109
1473817338368,7028,109
1473817338388,7048,109
1473817338408,7054,109
1473817338428,7053,109
1473817338448,7030,109
1473817338468,7019,109
1473817338488,7059,109
1473817338508,7087,109
1473817338528,7108,109
1473817338548,7165,109
1473817338568,7222,109
1473817338588,7290,109
1473817338608,7406,109
1473817338628,7505,109
1473817338648,7553,109
1473817338668,7579,109
1473817338688,7599,109
1473817338708,7579,109
1473817338728,7572,109
1473817338748,7552,109
1473817338768,7506,109
1473817338788,7520,109
1473817338808,7573,109
1473817338828,7700,109
1473817338848,7870,109
1473817338868,8056,109
1473817338888,8217,109
1473817338908,8315,109
1473817338928,8391,109
1473817338948,8492,109
1473817338968,8573,109
1473817338988,8639,109
1473817339008,8663,108
1473817339028,8704,108
1473817339048,8766,108
1473817339068,8818,108
1473817339088,8796,108
1473817339108,8703,108
1473817339128,8602,108
1473817339148,8569,108
1473817339168,8605,108
1473817339188,8685,108
1473817339208,8724,108
1473817339228,8768,108
1473817339248,8872,108
1473817339268,9006,108
1473817339288,9125,108
1473817339308,9188,108
1473817339328,9261,108
1473817339348,9372,108
1473817339368,9521,108
1473817339388,9644,108
1473817339408,9722,108
1473817339428,9778,108
1473817339448,9896,108
1473817339468,9976,108
1473817339488,9926,108
1473817339508,9953,108
1473817339528,10139,108
1473817339548,10406,108
1473817339568,10595,108
1473817339588,10681,108
1473817339608,10783,108
1473817339628,10885,108
1473817339648,10909,108
1473817339668,10872,108
1473817339688,10930,108
1473817339708,11055,108
1473817339728,11098,108
1473817339748,11040,108
1473817339768,10957,108
1473817339788,10910,108
1473817339808,10955,108
1473817339828,11057,108
1473817339848,11076,108
1473817339868,11060,108
1473817339888,11036,108
1473817339908,11002,108
1473817339928,10957,108
1473817339948,10990,108
1473817339968,10977,108
1473817339988,10740,108
1473817340008,10422,109
1473817340028,10149,109
1473817340048,9984,109
1473817340068,9943,109
1473817340088,9935,109
1473817340108,9931,109
1473817340128,9935,109
1473817340148,9884,109
1473817340168,9784,109
1473817340188,9717,109
1473817340208,9654,109
1473817340228,9576,109
1473817340248,9529,109
1473817340268,9539,109
1473817340288,9547,109
1473817340308,9527,109
1473817340328,9436,109
1473817340348,9310,109
1473817340368,9221,109
1473817340388,9162,109
1473817340408,9118,109
1473817340428,9092,109
1473817340448,9060,109
1473817340468,8999,109
